state,count
Alabama,15
Alaska,1
Arizona,0
Arkansas,0
California,290
Colorado,0
Connecticut,6
Delaware,7
Florida,1037
Georgia,14
Hawaii,298
Idaho,0
Illinois,1
Indiana,0
Iowa,0
Kansas,0
Kentucky,1
Louisiana,11
Maine,1
Maryland,7
Massachusetts,16
Michigan,0
Minnesota,0
Mississippi,5
Missouri,1
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,52
New Mexico,1
New York,33
North Carolina,104
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,29
Pennsylvania,1
Rhode Island,7
South Carolina,160
South Dakota,0
Tennessee,0
Texas,73
Utah,0
Vermont,0
Virginia,19
Washington,2
West Virginia,0
Wisconsin,0
Wyoming,0
